Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,Value
2010,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,,,100.0
2011,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,100.343
2012,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,100.515
2013,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,98.799
2014,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,98.285
2015,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,96.913
2016,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,|,r,100.343
2017,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,98.628
2018,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,97.256
2019,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,97.77
2020,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,90.566
2021,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,92.453
2022,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,r,,89.091
2023,2010 = 100,ba) Direkter und indirekter Rohstoffeinsatz,p,,85.824
2010,2010 = 100,bb) Direkter und indirekter Energieverbrauch,,,100.0
2011,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,94.692
2012,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,96.283
2013,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,96.388
2014,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,91.19
2015,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,90.729
2016,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,92.904
2017,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,91.168
2018,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,90.219
2019,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,90.002
2020,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,84.154
2021,2010 = 100,bb) Direkter und indirekter Energieverbrauch,r,,84.856
2022,2010 = 100,bb) Direkter und indirekter Energieverbrauch,,,81.554
2023,2010 = 100,bb) Direkter und indirekter Energieverbrauch,…,,
2010,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,,,100.0
2011,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,95.949
2012,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,98.345
2013,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,98.915
2014,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,92.821
2015,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,92.582
2016,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,95.38
2017,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,92.191
2018,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,90.302
2019,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,88.344
2020,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,81.057
2021,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,r,,82.443
2022,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,,,81.954
2023,2010 = 100,bc) Direkte und indirekte CO₂-Emissionen,…,,
